,layer,position,acc,f1
0,0,0,0.52,0.52
1,0,1,0.6,0.6
2,0,2,0.6,0.6
3,0,3,0.6,0.6
4,0,4,0.52,0.52
5,0,5,1.0,1.0
6,0,6,0.88,0.88
7,0,7,1.0,1.0
8,0,8,0.68,0.68
9,0,9,0.7,0.7
10,0,10,0.52,0.52
11,0,11,0.7,0.7
12,0,12,0.62,0.62
13,0,13,0.38,0.38
14,0,14,0.54,0.54
15,0,15,0.52,0.52
16,0,16,0.64,0.64
17,0,17,0.52,0.52
18,0,18,0.36,0.36
19,0,19,0.52,0.52
20,0,20,0.52,0.52
21,0,21,0.52,0.52
22,1,0,0.52,0.52
23,1,1,0.6,0.6
24,1,2,0.6,0.6
25,1,3,0.6,0.6
26,1,4,0.6,0.6
27,1,5,1.0,1.0
28,1,6,1.0,1.0
29,1,7,1.0,1.0
30,1,8,0.86,0.8599999999999999
31,1,9,0.88,0.88
32,1,10,0.64,0.64
33,1,11,0.7,0.7
34,1,12,0.64,0.64
35,1,13,0.38,0.38
36,1,14,0.44,0.44
37,1,15,0.54,0.54
38,1,16,0.66,0.66
39,1,17,0.56,0.56
40,1,18,0.36,0.36
41,1,19,0.46,0.46
42,1,20,0.54,0.54
43,1,21,0.52,0.52
44,2,0,0.52,0.52
45,2,1,0.6,0.6
46,2,2,0.6,0.6
47,2,3,0.6,0.6
48,2,4,0.6,0.6
49,2,5,1.0,1.0
50,2,6,1.0,1.0
51,2,7,1.0,1.0
52,2,8,0.86,0.8599999999999999
53,2,9,0.94,0.94
54,2,10,0.76,0.76
55,2,11,0.82,0.82
56,2,12,0.68,0.68
57,2,13,0.38,0.38
58,2,14,0.52,0.52
59,2,15,0.54,0.54
60,2,16,0.68,0.68
61,2,17,0.58,0.58
62,2,18,0.36,0.36
63,2,19,0.46,0.46
64,2,20,0.52,0.52
65,2,21,0.52,0.52
66,3,0,0.52,0.52
67,3,1,0.6,0.6
68,3,2,0.6,0.6
69,3,3,0.6,0.6
70,3,4,0.6,0.6
71,3,5,1.0,1.0
72,3,6,1.0,1.0
73,3,7,1.0,1.0
74,3,8,0.94,0.94
75,3,9,1.0,1.0
76,3,10,0.88,0.88
77,3,11,1.0,1.0
78,3,12,0.88,0.88
79,3,13,0.54,0.54
80,3,14,0.64,0.64
81,3,15,0.62,0.62
82,3,16,0.94,0.94
83,3,17,0.74,0.74
84,3,18,0.5,0.5
85,3,19,0.58,0.58
86,3,20,0.52,0.52
87,3,21,0.54,0.54
88,4,0,0.52,0.52
89,4,1,0.6,0.6
90,4,2,0.6,0.6
91,4,3,0.6,0.6
92,4,4,0.6,0.6
93,4,5,1.0,1.0
94,4,6,1.0,1.0
95,4,7,1.0,1.0
96,4,8,1.0,1.0
97,4,9,1.0,1.0
98,4,10,0.94,0.94
99,4,11,1.0,1.0
100,4,12,1.0,1.0
101,4,13,0.52,0.52
102,4,14,0.66,0.66
103,4,15,0.8,0.8000000000000002
104,4,16,0.96,0.96
105,4,17,0.82,0.82
106,4,18,0.5,0.5
107,4,19,0.56,0.56
108,4,20,0.7,0.7
109,4,21,0.6,0.6
110,5,0,0.52,0.52
111,5,1,0.6,0.6
112,5,2,0.6,0.6
113,5,3,0.6,0.6
114,5,4,0.6,0.6
115,5,5,1.0,1.0
116,5,6,1.0,1.0
117,5,7,1.0,1.0
118,5,8,1.0,1.0
119,5,9,1.0,1.0
120,5,10,1.0,1.0
121,5,11,1.0,1.0
122,5,12,1.0,1.0
123,5,13,0.52,0.52
124,5,14,0.56,0.56
125,5,15,0.7,0.7
126,5,16,0.96,0.96
127,5,17,0.82,0.82
128,5,18,0.5,0.5
129,5,19,0.56,0.56
130,5,20,0.6,0.6
131,5,21,0.7,0.7
132,6,0,0.52,0.52
133,6,1,0.6,0.6
134,6,2,0.6,0.6
135,6,3,0.6,0.6
136,6,4,0.6,0.6
137,6,5,1.0,1.0
