,layer,position,acc,f1
0,0,0,0.34,0.34
1,0,1,0.38,0.38
2,0,2,0.35,0.35
3,0,3,1.0,1.0
4,0,4,1.0,1.0
5,0,5,0.83,0.83
6,0,6,0.89,0.89
7,0,7,1.0,1.0
8,0,8,1.0,1.0
9,0,9,0.96,0.96
10,1,0,0.34,0.34
11,1,1,0.4,0.4000000000000001
12,1,2,0.39,0.39
13,1,3,1.0,1.0
14,1,4,1.0,1.0
15,1,5,0.87,0.87
16,1,6,1.0,1.0
17,1,7,1.0,1.0
18,1,8,1.0,1.0
19,1,9,1.0,1.0
20,2,0,0.34,0.34
21,2,1,0.39,0.39
22,2,2,0.39,0.39
23,2,3,1.0,1.0
24,2,4,1.0,1.0
25,2,5,1.0,1.0
26,2,6,1.0,1.0
27,2,7,1.0,1.0
28,2,8,1.0,1.0
29,2,9,1.0,1.0
30,3,0,0.34,0.34
31,3,1,0.39,0.39
32,3,2,0.37,0.37
33,3,3,1.0,1.0
34,3,4,1.0,1.0
35,3,5,1.0,1.0
36,3,6,1.0,1.0
37,3,7,1.0,1.0
38,3,8,1.0,1.0
39,3,9,1.0,1.0
40,4,0,0.34,0.34
41,4,1,0.36,0.36
42,4,2,0.37,0.37
43,4,3,1.0,1.0
44,4,4,1.0,1.0
45,4,5,1.0,1.0
46,4,6,1.0,1.0
47,4,7,1.0,1.0
48,4,8,1.0,1.0
49,4,9,1.0,1.0
50,5,0,0.34,0.34
51,5,1,0.38,0.38
52,5,2,0.37,0.37
53,5,3,1.0,1.0
54,5,4,1.0,1.0
55,5,5,1.0,1.0
56,5,6,1.0,1.0
57,5,7,1.0,1.0
58,5,8,1.0,1.0
59,5,9,1.0,1.0
